epoch	loss	time
0	6.360875517129898	710.1966145038605
1	4.00436719506979	663.288996219635
2	2.902656175196171	674.0898532867432
3	2.4164743423461914	654.36891746521
4	2.1911742240190506	658.4519875049591
5	2.0734163485467434	660.1528053283691
6	1.9629710242152214	670.6590845584869
7	1.8982295617461205	688.5230395793915
8	1.8718115203082561	664.9651718139648
9	1.834542065858841	671.7445828914642
10	1.8009440302848816	665.4046487808228
11	1.780433140695095	662.2621121406555
12	1.7580763436853886	665.7219932079315
13	1.7475117854773998	656.6431183815002
14	1.7244787327945232	650.0666160583496
15	1.7279676832258701	658.1292343139648
16	1.7101236321032047	653.8879237174988
17	1.704340435564518	647.8067090511322
18	1.7053006812930107	657.2679603099823
19	1.691918808966875	632.512585401535
20	1.6678920835256577	628.9837830066681
21	1.6832954064011574	628.7376344203949
22	1.674111396074295	627.7721667289734
23	1.6717104613780975	621.1925480365753
24	1.6699985302984715	639.96391248703
25	1.6621892116963863	625.0290386676788
26	1.6483177728950977	627.1982791423798
27	1.64389044418931	625.6950705051422
28	1.6389533691108227	634.6919946670532
29	1.643625795841217	628.2079503536224
30	1.637349035590887	626.2139859199524
31	1.622203215956688	623.5586938858032
32	1.629981704056263	627.135499715805
33	1.6161090210080147	636.7870473861694
34	1.6079340763390064	626.2015187740326
35	1.6097300462424755	639.6938750743866
36	1.6071129329502583	619.594012260437
37	1.597788441926241	626.119556427002
38	1.6055727005004883	621.6737582683563
39	1.6023111045360565	624.2079808712006
40	1.5945383943617344	624.1143572330475
41	1.5926883444190025	631.488527059555
42	1.5898690447211266	628.2615990638733
43	1.5812506787478924	629.1703796386719
44	1.5810372307896614	631.4669010639191
45	1.5906871370971203	621.7383117675781
46	1.5764066763222218	629.6471884250641
47	1.5746306106448174	625.1424646377563
48	1.5762266591191292	619.7378940582275
49	1.5765237845480442	621.4192452430725
